id,commercial_name,county_code,full_address,UTMx,UTMy,latitude,longitude
cens-0826710007-857,LA FRUITERIA,40.0,"AV SALVADOR ESPRIU 2, BXS, 08181 Sentmenat",427876.18,4606609.55,41.6078889,2.1344222
cens-0816350006-2386,FRUTAS Y VERDURAS,21.0,"AV MEDITERRANI 67, BAIXOS LOCAL 1, 08397 Pineda de Mar",472688.48,4607647.49,41.6200292,2.6721642
cens-0816350006-2412,CASA AMETLLER,21.0,"AV HISPANITAT 2, BAIXOS B I C, 08397 Pineda de Mar",472516.23,4607357.24,41.617409,2.6701099
cens-0816350006-112,FRUITERIA BURGOS,21.0,"C LLEIDA 45, 08397 Pineda de Mar",474487.38,4608545.35,41.628176,2.6937188
cens-0816350006-2474,FRUITES I VERDURES,21.0,"C BALMES 24, 08397 Pineda de Mar",474016.42,4608211.97,41.625158,2.6880795
cens-0816350006-2216,FRUITES I VERDURES MIQUEL,21.0,"C CIUTADANS 10, BAIXOS, 08397 Pineda de Mar",474161.15,4608508.18,41.6278307,2.6898041
cens-0816350006-991,FRUITES DIAZ,21.0,"C MORAGAS I BARRET 60-64, BAIXOS LOCAL 3, 08397 Pineda de Mar",474032.96,4608274.02,41.6257174,2.6882753
cens-0816350006-2072,SUPERVERD,21.0,"C MORAGAS I BARRET 61, BAIXOS, 08397 Pineda de Mar",474023.3,4608267.54,41.6256587,2.6881597
cens-0816350006-3020,PEPA FRUIT,21.0,"PL ESPANYA 14, LC 01 B, 08397 Pineda de Mar",473999.49,4608318.07,41.6261131,2.6878716
cens-0816350006-3180,FRUITERIA-VERDULERIA,21.0,"C JAUME I 62, BX, 08397 Pineda de Mar",474494.05,4608439.96,41.627227,2.6938034
cens-0816350006-3224,FRUITES I VERDURES LINA,21.0,"AV HISPANITAT 23, LC  01, 08397 Pineda de Mar",472676.06,4607459.26,41.6183334,2.6720237
cens-0816350006-3309,FRUITES I VERDURES TEY,21.0,"C RUSIÑOL 14-16, LC 1A, 08397 Pineda de Mar",474680.49,4608190.41,41.6249851,2.6960521
cens-0816350006-3326,La ruta de la fruta,21.0,"C DR. BERTOMEU 56, BX bx, 08397 Pineda de Mar",474239.22,4608148.88,41.624597,2.6907568
cens-0826490004-318,SUPERMERCAT FRUITES I VERDURES,21.0,"C COSTA DAURADA 4-6 LOCAL 50, LOCAL 50, 08394 SANT VICENÇ DE MONTALT",459785.85,4601727.24,41.5661589,2.5176881
cens-0813500000-16,FRUTERIA BEBIDAS,41.0,"C DIPUTACIO 31, BXOS, 08160 Montmeló",437083.09,4600228.58,41.5511964,2.2455762
cens-0827850006-759,MARE TERRA,24.0,"CTRA MONT-RODON 11, BX 3, 08552 TARADELL",440741.4,4636123.9,41.8747689,2.2858692
cens-0811730008-82,FRUITERIA MARTA,24.0,"C GIRONA 1, 08508 MASIES DE VOLTREGÀ",437485.5,4651762.18,42.0153581,2.2449753
cens-0819230008-1966,"CASA AMETLLER, FRUITERIA",7.0,"CTRA NAVARCLES 7, BAIXOS, 08251 SANTPEDOR",403515.0,4626189.0,41.7816376,1.8389403
cens-0812710007-72,FRUITERIA,7.0,"C MANRESA 7, 08691 MONISTROL DE MONTSERRAT",403788.42,4607424.86,41.6126916,1.8452568
cens-0804100000-361,SUPERSFRUITS,41.0,"C MOLI DE LA SAL 33, BXS, 08420 CANOVELLES",440176.0,4607525.0,41.6171507,2.281932
cens-0827850006-270,CAN MARXANT,24.0,"PL ERES (DE LES) 5, BX., 08552 TARADELL",440885.1,4636070.73,41.8743008,2.2876062
cens-0804100000-31,FRUITES I VERDURES,41.0,"C PRAT 24, BXS, 08420 CANOVELLES",440251.0,4607665.0,41.6184173,2.2828182
cens-0804100000-316,SUPERSFRUITS,41.0,"C DIAGONAL 44, BXS 1, 08420 CANOVELLES",440123.73,4607856.4,41.6201316,2.2812715
cens-0804100000-181,CARMETA,41.0,"C INDUSTRIA 25A L1, A BXS 1, 08420 CANOVELLES",440160.0,4607696.0,41.6186897,2.2817229
cens-0800600000-136,FRUITS SA2PE,21.0,"RIERA PARE FITA 74-76, LOCAL 2, 08350 Arenys de Mar",462364.59,4603928.26,41.5861094,2.5484774
cens-0800600000-2046,LA FRUITERIA,21.0,"AV PAU COSTA 33, 08350 Arenys de Mar",462848.85,4603626.44,41.5834135,2.5543058
cens-0890240003-422,SUPERFRUITS,41.0,"C ONZE DE SETEMBRE 14, 08410 VILANOVA DEL VALLÈS",440407.09,4600332.92,41.5523908,2.2854202
cens-0814020002-598,FRUITERIA. FRUITES I VERDURES NATURALS,7.0,"C NOU 8, 08270 Navarcles",408822.0,4622814.0,41.7518716,1.9033086
cens-0815800000-909,FRUITERIA CADA DIA,11.0,"C DIPUTACIO 16, 08754 Papiol",417462.31,4588078.95,41.4399898,2.0120014
cens-0804620002-649,ANNA FRUITS,41.0,"PL JOAN ALSINA 1, 2 2, 08440 Cardedeu",446764.35,4610199.1,41.6417026,2.3607691
cens-0819230008-2124,CA LA ROSINA,7.0,"C MONJO 80-82, 08251 Santpedor",403482.0,4626594.0,41.7852807,1.8384774
cens-0804620002-1180,EL PAGES,41.0,"C MARE DE DÉU DEL PILAR (DE) 120, 08440 Cardedeu",446825.52,4609952.85,41.6394887,2.3615255
cens-0821880001-212,FRUITERIA SANT JOAN,7.0,"C LLEIDA 19, BAIXOS, 08250 SANT JOAN DE VILATORRADA",400553.0,4622155.0,41.7449449,1.8039791
cens-0824440003-162,FRUITS OLIVE,11.0,"C EUSEBI JOVER 11, BAIXOS, 08690 Santa Coloma de Cervelló",417786.06,4580115.59,41.3683018,2.0169579
cens-0816660009-34,FRUITERIA GLORIA,14.0,"PL DEL FORT 5, 08696 LA POBLA DE LILLET",415430.71,4677458.74,42.2446987,1.9749178
cens-0813500000-177,SUPER FRUITS,41.0,"C DIPUTACIO 8, LOC 1, 08160 Montmeló",437217.58,4600305.28,41.5518978,2.2471807
cens-0814020002-750,LA COLLITA,7.0,"C AMPLE 30, BAIXOS, 08270 Navarcles",408936.86,4622898.92,41.7526496,1.9046769
cens-0826130008-111,L'HORT D'EN RIPOLL,21.0,"C MONTAGUT 36, 08398 Santa Susanna",475649.0,4609421.0,41.6360995,2.7076284
cens-0816660009-108,FRUITES GLORIA,14.0,"C PONTARRO 2, BX, 08696 Pobla de Lillet",415439.95,4677468.41,42.2447868,1.9750283
cens-0805380001-101,FRUITERIA MÉS QUE FRUITA,7.0,"C BAUMA 54, 08296 CASTELLBELL I EL VILAR",405594.0,4608464.0,41.6222653,1.8667597
cens-0804620002-1511,FRUITES I VERDURES DE LA VILA,41.0,"C DOCTOR KLEIN 7, 08440 Cardedeu",446390.52,4609886.56,41.6388626,2.3563086
cens-0815800000-847,BOTIGA ECO,11.0,"C SALUT 6, 08754 Papiol",417473.5,4588008.45,41.439356,2.012145
cens-0811200000-1269,LA BOTIGA DE LA FRUITA,24.0,"C. SANT DOMÈNEC  16, 08560 MANLLEU",440741.6,4649896.23,41.9988052,2.2844865
cens-0804620002-2813,FRUITERIA CAMP FRESC,41.0,"PL ENRIC BORRÀS (D') 1, 08440 Cardedeu",446757.83,4608917.92,41.6301628,2.3608048
cens-0801740003-243,FRUITES JURADO,24.0,"C MAJOR 11, 08550 BALENYÀ",436445.57,4629426.51,41.814117,2.2348232
cens-0826280001-1179,NOSTRA FRUITERIA,7.0,"C GRAN 13, 08295 Sant Vicenç de Castellet",405351.71,4613402.98,41.666715,1.8630701
